Category: All categories

Week,domestic violence helpline: (India)
2019-06-02,30
2019-06-09,0
2019-06-16,22
2019-06-23,30
2019-06-30,15
2019-07-07,0
2019-07-14,23
2019-07-21,16
2019-07-28,31
2019-08-04,32
2019-08-11,48
2019-08-18,31
2019-08-25,16
2019-09-01,24
2019-09-08,32
2019-09-15,15
2019-09-22,15
2019-09-29,31
2019-10-06,48
2019-10-13,15
2019-10-20,0
2019-10-27,16
2019-11-03,23
2019-11-10,23
2019-11-17,16
2019-11-24,16
2019-12-01,0
2019-12-08,33
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,31
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,31
2020-02-16,31
2020-02-23,16
2020-03-01,31
2020-03-08,16
2020-03-15,15
2020-03-22,24
2020-03-29,32
2020-04-05,100
2020-04-12,60
2020-04-19,76
2020-04-26,41
2020-05-03,49
2020-05-10,75
2020-05-17,58
2020-05-24,58
